neighbourhood_name,min,max,mean,sd,median
ARBUTUS-RIDGE,3,33,18.418990203466464,7.516136251019664,20
DOWNTOWN,3,33,16.991555555555557,6.77330437026773,16
DUNBAR-SOUTHLANDS,3,33,17.538563477338986,7.251241145345025,18
FAIRVIEW,3,32,18.236916548797737,7.029088935565225,18
GRANDVIEW-WOODLAND,3,33,17.951195862960567,7.524883402093409,19
HASTINGS-SUNRISE,3,32,19.669794238683128,8.158856675581653,19
KENSINGTON-CEDAR COTTAGE,3,33,19.22056810403833,7.152990464480952,20
KERRISDALE,3,33,17.18498837595483,6.937690441541445,17
KILLARNEY,3,33,18.34711308507004,7.865568500875058,19
KITSILANO,3,32,17.125585023400937,7.46320305061201,16
MARPOLE,3,33,17.667615433270083,7.096694290848102,18
MOUNT PLEASANT,3,33,19.028154681139757,8.357117892213727,18
OAKRIDGE,3,32,18.493423524990604,7.86653554913134,18
RENFREW-COLLINGWOOD,3,33,17.793092956032254,7.547038598271816,18
RILEY PARK,3,32,18.080795899909557,6.810292242471847,18
SHAUGHNESSY,3,33,17.17590822179732,6.820775966205607,18
SOUTH CAMBIE,3,32,19.181277056277057,6.676704452217141,21
STRATHCONA,3,32,16.774398868458274,7.774285431446116,17
SUNSET,3,33,17.771023965141612,6.960122790477435,18
VICTORIA-FRASERVIEW,3,33,17.945652173913043,7.282826920129972,19
WEST END,3,32,18.25591985428051,7.251007318255566,18
WEST POINT GREY,3,33,17.754662840746054,7.503209585559625,18
